TimeStamp;Hue;Brightness
1278705212663118;294;100
1278705245991234;294;100
1278705279310810;296;100
1278705312647387;295;100
1278705345966080;0;0
1278705379283618;0;0
1278705412613233;292;100
1278705446022426;296;100
1278705479255849;295;100
1278705512585195;296;100
1278705545908003;296;100
1278705579228541;296;100
1278705612557195;296;100
1278705645881926;296;100
1278705679202310;296;100
1278705712533195;296;100
1278705745849387;296;100
1278705779172925;295;100
1278705812498118;295;100
1278705845825925;295;100
1278705879158848;295;100
1278705912475310;295;100
1278705945845118;296;100
1278705979129887;296;100
1278706012448425;295;100
1278706045845502;296;100
1278706079097387;296;100
1278706112412541;296;100
1278706145745271;297;100
1278706179065387;296;100
1278706212388541;295;100
1278706245719541;294;100
1278706279037964;294;100
1278706312366233;296;100
1278706345698771;295;100
1278706379015925;295;100
1278706412342540;294;100
1278706445667656;0;0
1278706479002810;0;0
1278706512313810;295;100
1278706545635886;297;100
1278706578955002;298;100
1278706612283040;298;100
1278706645605540;298;100
1278706678927694;299;100
1278706712259656;299;100
1278706745582156;298;100
1278706778902963;296;100
1278706812229079;300;100
1278706845553194;298;100
1278706878990617;298;100
1278706912204925;297;100
1278706945527463;298;100
1278706978848309;298;100
1278707012174732;296;100
1278707045605271;298;100
1278707078825963;299;100
1278707112145963;298;100
1278707145474463;299;100
1278707178800001;297;100
1278707212123386;298;100
1278707245447232;297;100
1278707278865501;297;100
1278707312099424;298;100
1278707345422847;297;100
1278707378853655;297;100
1278707412062232;297;100
1278707445395655;298;100
1278707478715270;298;100
1278707512044001;295;100
1278707545377963;0;0
1278707578684424;0;0
1278707612010693;297;100
1278707645337963;297;100
1278707678679809;299;100
1278707711978116;297;100
1278707745302578;298;100
1278707778628963;298;100
1278707811958155;297;100
1278707845281462;298;100
1278707878600847;297;100
1278707911929155;298;100
1278707945247462;297;100
1278707978579385;297;100
1278708011902732;298;100
1278708045222616;297;100
1278708078551808;296;100
1278708111870539;298;100
1278708145196501;297;100
1278708178525116;297;100
1278708211850501;297;100
1278708245171078;296;100
1278708278492308;298;100
1278708311834962;297;100
1278708345144731;298;100
1278708378478616;299;100
1278708411794616;298;100
1278708445117616;299;100
1278708478442693;297;100
1278708511766116;297;100
1278708545090885;296;100
1278708578419539;297;100
1278708611739847;299;100
1278708645065308;0;0
1278708678390616;0;0
1278708711738846;11;100
1278708745037270;301;100
1278708778366962;299;100
1278708811683346;299;100
1278708845008616;300;100
1278708878406846;300;100
1278708911665346;300;100
1278708944979731;301;100
1278708978301000;300;100
1278709011627808;299;100
1278709045034615;302;100
1278709078278731;299;100
1278709111603154;300;100
1278709144926115;300;100
1278709178249846;301;100
1278709211576538;301;100
1278709244907500;300;100
1278709278231923;300;100
1278709311555731;300;100
1278709344960884;302;100
1278709378205000;303;100
1278709411523538;300;100
1278709444853192;301;100
1278709478167769;301;100
1278709511509231;301;100
1278709544824577;299;100
1278709578219154;300;100
1278709611464154;299;100
1278709644793730;300;100
1278709678137153;299;100
1278709711442615;299;100
1278709744766038;0;0
1278709778168346;0;0
1278709811411384;0;0
1278709844748307;300;100
1278709878064346;301;100
1278709911384115;300;100
1278709944711692;301;100
1278709978035307;298;100
1278710011359769;299;100
1278710044689346;299;100
1278710078087307;298;100
1278710111331538;298;100
1278710144664807;297;100
1278710177982845;298;100
1278710211309576;300;100
1278710244629884;301;100
1278710277956076;299;100
1278710311283768;298;100
1278710344600038;300;100
1278710377929038;300;100
1278710411253461;300;100
1278710444578038;301;100
1278710477899614;300;100
1278710511255922;300;100
1278710544545961;300;100
1278710577887999;301;100
1278710611196653;299;100
1278710644555384;299;100
1278710677845922;299;100
1278710711168037;300;100
1278710744554422;298;100
1278710777826499;298;100
