TimeStamp;Hue;Brightness;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
1278463544995560;140;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278463678269560;143;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278463978223560;143;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278464344772290;156;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278464378074560;151;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278464411405060;146;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278464811291290;141;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278464877987790;154;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278464944588290;148;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278465644396790;149;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278466010967520;148;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278466210906520;149;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278466677454750;141;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278466977374250;152;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278467010778250;150;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278467743838480;143;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278468710238480;149;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278469376719710;147;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278470309792440;147;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278470776347670;0;0;19990000;-20;100;1;0.8742884;7.757999999999999
1278470976281940;148;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278471042949670;146;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278471676097170;145;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278471776073670;147;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278471942684170;154;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278472042663900;148;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278472309268900;149;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278472775793400;145;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278474175417630;155;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278474308709130;148;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278474808576360;154;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278474941867860;156;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278475208465090;0;0;19990000;-20;100;1;0.8742884;7.757999999999999
1278475741653590;156;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278476174872590;152;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278476241519590;159;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278476274848090;0;0;19990000;-20;100;1;0.8742884;7.757999999999999
1278476308223820;0;0;19990000;-20;100;1;0.8742884;7.757999999999999
1278476508209320;156;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278477007984820;158;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278477041303320;159;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278477074658820;155;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278477241332550;155;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278477374545050;0;0;19990000;-20;100;1;0.8742884;7.757999999999999
1278478240977550;154;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278478307703050;153;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278479174052280;157;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278479274026780;159;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278479507298280;161;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278479573945010;0;0;19990000;-20;100;1;0.8742884;7.757999999999999
1278479607273280;0;0;19990000;-20;100;1;0.8742884;7.757999999999999
1278479873863510;163;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278480273755510;158;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278480573685740;161;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278480673664010;0;0;19990000;-20;100;1;0.8742884;7.757999999999999
1278480940319740;160;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278481173511240;158;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278481606733240;157;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278481806762470;0;0;19990000;-20;100;1;0.8742884;7.757999999999999
1278482373229470;161;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278482573139470;160;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278482673107200;162;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278482806400470;163;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278482839725970;161;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278483106319200;161;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278483706166430;161;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278483939433930;165;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278484272765930;163;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278484372645430;166;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278484505937430;164;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278485239107160;163;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278486572053890;168;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278486938612620;169;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278486971941120;169;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278488004997850;170;100;19990000;-20;100;1;0.8742884;7.757999999999999
1278488404886350;0;0;19990000;-20;100;1;0.8742884;7.757999999999999
1278488704808850;168;100;19990000;-20;100;1;0.8742884;7.757999999999999
