TimeStamp;Hue;Brightness;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
135050652920017;6;100;24999000;-4;437;1;17.036.726;3.0
135050685981996;6;100;24999000;-4;437;1;17.036.726;3.0
135050718220017;4;100;24999000;-4;437;1;17.036.726;3.0
135050753036162;5;100;24999000;-4;437;1;17.036.726;3.0
135050785274704;4;100;24999000;-4;437;1;17.036.726;3.0
135050819182517;4;100;24999000;-4;437;1;17.036.726;3.0
135050854381996;5;100;24999000;-4;437;1;17.036.726;3.0
135050885648142;4;100;24999000;-4;437;1;17.036.726;3.0
135050919348662;5;100;24999000;-4;437;1;17.036.726;3.0
135050952109079;5;100;24999000;-4;437;1;17.036.726;3.0
135050985510121;3;100;24999000;-4;437;1;17.036.726;3.0
135051019015850;4;100;24999000;-4;437;1;17.036.726;3.0
135051051312204;3;100;24999000;-4;437;1;17.036.726;3.0
135051085380433;5;100;24999000;-4;437;1;17.036.726;3.0
135051117723142;5;100;24999000;-4;437;1;17.036.726;3.0
135051152949704;5;100;24999000;-4;437;1;17.036.726;3.0
135051184443454;4;100;24999000;-4;437;1;17.036.726;3.0
135051219137725;4;100;24999000;-4;437;1;17.036.726;3.0
135051251040329;0;0;24999000;-4;437;1;17.036.726;3.0
135051285201267;0;0;24999000;-4;437;1;17.036.726;3.0
135051318288246;9;100;24999000;-4;437;1;17.036.726;3.0
135051351517933;5;100;24999000;-4;437;1;17.036.726;3.0
135051385976787;3;100;24999000;-4;437;1;17.036.726;3.0
135051418715850;5;100;24999000;-4;437;1;17.036.726;3.0
135051451415329;5;100;24999000;-4;437;1;17.036.726;3.0
135051484539808;5;100;24999000;-4;437;1;17.036.726;3.0
135051518841371;4;100;24999000;-4;437;1;17.036.726;3.0
135051551905433;5;100;24999000;-4;437;1;17.036.726;3.0
135051585860641;5;100;24999000;-4;437;1;17.036.726;3.0
135051618185641;3;100;24999000;-4;437;1;17.036.726;3.0
135051651496058;4;100;24999000;-4;437;1;17.036.726;3.0
135051684330433;4;100;24999000;-4;437;1;17.036.726;3.0
135051719245537;4;100;24999000;-4;437;1;17.036.726;3.0
135051752518975;5;100;24999000;-4;437;1;17.036.726;3.0
135051785120016;4;100;24999000;-4;437;1;17.036.726;3.0
135051818090850;4;100;24999000;-4;437;1;17.036.726;3.0
135051851730433;5;100;24999000;-4;437;1;17.036.726;3.0
135051884889808;5;100;24999000;-4;437;1;17.036.726;3.0
135051918204912;4;100;24999000;-4;437;1;17.036.726;3.0
135051951106475;4;100;24999000;-4;437;1;17.036.726;3.0
135051984775746;3;100;24999000;-4;437;1;17.036.726;3.0
135052017017933;5;100;24999000;-4;437;1;17.036.726;3.0
135052051337204;4;100;24999000;-4;437;1;17.036.726;3.0
135052084335641;4;100;24999000;-4;437;1;17.036.726;3.0
135052119807516;5;100;24999000;-4;437;1;17.036.726;3.0
135052151406475;5;100;24999000;-4;437;1;17.036.726;3.0
135052183777829;3;100;24999000;-4;437;1;17.036.726;3.0
135052217904912;4;100;24999000;-4;437;1;17.036.726;3.0
135052253105433;4;100;24999000;-4;437;1;17.036.726;3.0
135052290898662;4;100;24999000;-4;437;1;17.036.726;3.0
135052317532516;7;100;24999000;-4;437;1;17.036.726;3.0
135052350707516;0;0;24999000;-4;437;1;17.036.726;3.0
135052383713766;0;0;24999000;-4;437;1;17.036.726;3.0
135052416986683;5;100;24999000;-4;437;1;17.036.726;3.0
135052450451266;4;100;24999000;-4;437;1;17.036.726;3.0
135052483638766;4;100;24999000;-4;437;1;17.036.726;3.0
135052516313766;4;100;24999000;-4;437;1;17.036.726;3.0
135052550233558;4;100;24999000;-4;437;1;17.036.726;3.0
135052583036162;3;100;24999000;-4;437;1;17.036.726;3.0
135052618059079;4;100;24999000;-4;437;1;17.036.726;3.0
135052649637725;4;100;24999000;-4;437;1;17.036.726;3.0
135052684263766;4;100;24999000;-4;437;1;17.036.726;3.0
135052716808037;4;100;24999000;-4;437;1;17.036.726;3.0
135052750443454;4;100;24999000;-4;437;1;17.036.726;3.0
135052783149183;5;100;24999000;-4;437;1;17.036.726;3.0
135052816936162;5;100;24999000;-4;437;1;17.036.726;3.0
135052850213766;2;100;24999000;-4;437;1;17.036.726;3.0
135052884056995;4;100;24999000;-4;437;1;17.036.726;3.0
135052916096058;4;100;24999000;-4;437;1;17.036.726;3.0
135052949691891;3;100;24999000;-4;437;1;17.036.726;3.0
135052984343975;3;100;24999000;-4;437;1;17.036.726;3.0
135053016497100;4;100;24999000;-4;437;1;17.036.726;3.0
135053050125225;3;100;24999000;-4;437;1;17.036.726;3.0
135053083495537;4;100;24999000;-4;437;1;17.036.726;3.0
135053115989808;3;100;24999000;-4;437;1;17.036.726;3.0
135053149797100;4;100;24999000;-4;437;1;17.036.726;3.0
135053182863766;4;100;24999000;-4;437;1;17.036.726;3.0
135053216858037;4;100;24999000;-4;437;1;17.036.726;3.0
135053249622100;4;100;24999000;-4;437;1;17.036.726;3.0
135053283461162;3;100;24999000;-4;437;1;17.036.726;3.0
135053316295016;4;100;24999000;-4;437;1;17.036.726;3.0
135053349201787;4;100;24999000;-4;437;1;17.036.726;3.0
135053384652308;3;100;24999000;-4;437;1;17.036.726;3.0
135053415445016;5;100;24999000;-4;437;1;17.036.726;3.0
135053451575745;0;0;24999000;-4;437;1;17.036.726;3.0
135053482472620;0;0;24999000;-4;437;1;17.036.726;3.0
135053515675745;7;100;24999000;-4;437;1;17.036.726;3.0
135053548733558;7;100;24999000;-4;437;1;17.036.726;3.0
135053581983558;5;100;24999000;-4;437;1;17.036.726;3.0
135053615041891;6;100;24999000;-4;437;1;17.036.726;3.0
135053648533037;7;100;24999000;-4;437;1;17.036.726;3.0
135053682184079;5;100;24999000;-4;437;1;17.036.726;3.0
135053715744495;7;100;24999000;-4;437;1;17.036.726;3.0
135053749666891;8;100;24999000;-4;437;1;17.036.726;3.0
135053782241370;5;100;24999000;-4;437;1;17.036.726;3.0
135053815030433;6;100;24999000;-4;437;1;17.036.726;3.0
135053849356474;6;100;24999000;-4;437;1;17.036.726;3.0
135053882370537;7;100;24999000;-4;437;1;17.036.726;3.0
135053915123662;7;100;24999000;-4;437;1;17.036.726;3.0
135053948688766;7;100;24999000;-4;437;1;17.036.726;3.0
135053981808558;7;100;24999000;-4;437;1;17.036.726;3.0
135054014969495;6;100;24999000;-4;437;1;17.036.726;3.0
135054048508037;6;100;24999000;-4;437;1;17.036.726;3.0
135054081614287;7;100;24999000;-4;437;1;17.036.726;3.0
135054115208558;6;100;24999000;-4;437;1;17.036.726;3.0
135054148016891;6;100;24999000;-4;437;1;17.036.726;3.0
135054182028870;5;100;24999000;-4;437;1;17.036.726;3.0
135054215309599;6;100;24999000;-4;437;1;17.036.726;3.0
135054247720016;5;100;24999000;-4;437;1;17.036.726;3.0
135054282812204;7;100;24999000;-4;437;1;17.036.726;3.0
135054319050745;8;100;24999000;-4;437;1;17.036.726;3.0
135054349592933;6;100;24999000;-4;437;1;17.036.726;3.0
135054381659079;8;100;24999000;-4;437;1;17.036.726;3.0
