TimeStamp;ExposureTime;ExposureComp;ISO;AWB;FocusDist;Zoom
1269755593050560;19990000;-19;100;1;12.830.445;4.806
1269755626354600;19990000;-19;100;1;12.830.445;4.806
1269755659762100;19990000;-19;100;1;12.830.445;4.806
1269755693115870;19990000;-19;100;1;12.830.445;4.806
1269755726332490;19990000;-19;100;1;12.830.445;4.806
1269755759741830;19990000;-19;100;1;12.830.445;4.806
1269755793092220;19990000;-19;100;1;12.830.445;4.806
1269755826409830;19990000;-19;100;1;12.830.445;4.806
1269755859625910;19990000;-19;100;1;12.830.445;4.806
1269755892950450;19990000;-19;100;1;12.830.445;4.806
1269755926399600;19990000;-19;100;1;12.830.445;4.806
1269755959631490;19990000;-19;100;1;12.830.445;4.806
1269755993032530;19990000;-19;100;1;12.830.445;4.806
1269756026320100;19990000;-19;100;1;12.830.445;4.806
1269756059579990;19990000;-19;100;1;12.830.445;4.806
1269756092890950;19990000;-19;100;1;12.830.445;4.806
1269756126508600;19990000;-19;100;1;12.830.445;4.806
1269756159561910;19990000;-19;100;1;12.830.445;4.806
1269756192872790;19990000;-19;100;1;12.830.445;4.806
1269756226220030;19990000;-19;100;1;12.830.445;4.806
1269756259629560;19990000;-19;100;1;12.830.445;4.806
1269756292843830;19990000;-19;100;1;12.830.445;4.806
1269756326166140;19990000;-19;100;1;12.830.445;4.806
1269756359494910;19990000;-19;100;1;12.830.445;4.806
1269756392819830;19990000;-19;100;1;12.830.445;4.806
1269756426147370;19990000;-19;100;1;12.830.445;4.806
1269756459471450;19990000;-19;100;1;12.830.445;4.806
1269756492792760;19990000;-19;100;1;12.830.445;4.806
1269756526138180;19990000;-19;100;1;12.830.445;4.806
1269756559446370;19990000;-19;100;1;12.830.445;4.806
1269756592764950;19990000;-19;100;1;12.830.445;4.806
1269756626084450;19990000;-19;100;1;12.830.445;4.806
1269756659420100;19990000;-19;100;1;12.830.445;4.806
1269756692744370;19990000;-19;100;1;12.830.445;4.806
1269756726130720;19990000;-19;100;1;12.830.445;4.806
1269756759385720;19990000;-19;100;1;12.830.445;4.806
1269756792862990;19990000;-19;100;1;12.830.445;4.806
1269756826031100;19990000;-19;100;1;12.830.445;4.806
1269756859478260;19990000;-19;100;1;12.830.445;4.806
1269756892695290;19990000;-19;100;1;12.830.445;4.806
1269756926075180;19990000;-19;100;1;12.830.445;4.806
1269756959427030;19990000;-19;100;1;12.830.445;4.806
1269756992651450;19990000;-19;100;1;12.830.445;4.806
